"Event","Time","TotalJobs"
"Arrival","0.3871325460312173","1"
"Arrival","1.3785682363477378","2"
"Service","6.577695160359707","1"
"Arrival","10.026155888990694","2"
"Arrival","12.562052563219481","3"
"Service","14.538008366243501","2"
"Service","16.31591419157072","1"
"Service","18.253945171589322","0"
"Arrival","26.29494627614954","1"
"Arrival","27.31668128101932","2"
"Service","33.590377832467226","1"
"Arrival","34.958382652026955","2"
"Service","36.021653129070906","1"
"Arrival","41.38308258237589","2"
"Service","42.93570072880101","1"
"Service","47.49641389415014","0"
"Arrival","78.19275908232723","1"
"Service","80.27414052256471","0"
"Arrival","91.34875262933689","1"
"Arrival","92.13349036768795","2"
"Arrival","93.17065293133","3"
"Service","93.662155274915","2"
"Arrival","98.03777839587852","3"
"Service","100.04072747866782","2"
"Arrival","102.76623728811991","3"
"Service","108.60005466408224","2"
"Arrival","110.15175808854585","3"
"Service","110.42930550117221","2"
"Service","117.22769055541704","1"
"Arrival","117.57654841871125","2"
"Arrival","125.38591275698118","3"
"Arrival","125.87426347442819","4"
"Service","127.07264400804746","3"
"Service","127.55886833200708","2"
"Service","130.30084446830648","1"
"Service","136.93580243173724","0"
"Arrival","137.586606890822","1"
"Arrival","138.20229462610257","2"
"Service","138.2982223270729","1"
"Service","139.9004011910284","0"
"Arrival","141.05531161570588","1"
"Arrival","141.97193332920426","2"
"Service","145.15900959977407","1"
"Arrival","147.2934032116461","2"
"Arrival","147.39009043797307","3"
"Arrival","148.59191248358","4"
"Arrival","149.94526631453155","5"
"Service","160.55381095334982","4"
"Arrival","161.61124145693245","5"
"Service","162.00728645583686","4"
"Service","166.2729972863533","3"
"Service","176.17524346862655","2"
"Arrival","176.7539753762173","3"
"Service","177.71529939704072","2"
"Arrival","178.23990910679763","3"
"Arrival","180.26227188873872","4"
"Arrival","181.32129034520537","5"
"Arrival","183.4122271157685","6"
"Service","184.2127761575704","5"
"Arrival","190.43816185505705","6"
"Service","192.6600919409432","5"
"Service","196.88708258204255","4"
"Arrival","200.49114508639735","5"
"Arrival","200.73570275022664","6"
"Service","202.3389442394552","5"
"Arrival","203.38901660755712","6"
"Service","209.15300920588334","5"
"Service","211.27624036028445","4"
"Arrival","213.99651727206742","5"
"Arrival","217.91729135966375","6"
"Arrival","219.62270574035173","7"
"Service","219.83843126249997","6"
"Service","220.38420405471913","5"
"Arrival","222.081468893588","6"
"Arrival","227.8043992794368","7"
"Arrival","227.9265654030928","8"
"Service","228.46284499535489","7"
"Arrival","228.9131209592151","8"
"Service","233.53103451035315","7"
"Arrival","233.63457831929193","8"
"Abbandon","233.63457831929193","7"
"Arrival","234.13366912830784","8"
"Service","241.93673497760332","7"
"Arrival","246.56802714518315","8"
"Service","247.5778985704276","7"
"Service","252.0319598897355","6"
"Service","253.23758705057975","5"
"Arrival","257.6316373818406","6"
"Arrival","262.52018778665354","7"
"Arrival","263.1875828217404","8"
"Abbandon","263.1875828217404","7"
"Service","267.6290362634177","6"
"Arrival","271.06696560372876","7"
