"Event","Time","TotalJobs"
"Service","13.780378566978314","2"
"Service","18.112237067805438","2"
"Service","21.582395280175515","2"
"Service","26.155247605562487","1"
"Service","28.644282321579315","1"
"Service","34.39966347409794","3"
"Service","37.51914895176999","2"
"Service","42.14751527080391","2"
"Service","46.60836844854177","2"
"Service","49.33494577946491","1"
"Service","54.73784410655659","1"
"Service","64.30554152264101","0"
"Service","68.56258231836333","0"
"Service","85.62467545544314","1"
"Service","95.18566358085845","1"
"Service","97.4979595957604","0"
"Service","109.16081682430459","1"
"Service","119.27118363966858","1"
"Service","129.0140605009807","0"
"Service","142.99873450262442","2"
"Service","148.27540050021796","2"
"Service","156.5881311872144","2"
"Service","160.67719099598295","1"
"Service","165.2443154781993","2"
"Service","174.83481354440175","3"
"Service","179.11624840462508","3"
"Service","187.82470026173098","3"
"Service","190.98737701143256","3"
"Service","201.61449321159674","3"
"Service","218.39275241567307","4"
"Service","222.2835800789294","4"
"Service","227.18274383738463","3"
"Service","237.0934157628277","2"
"Service","243.4479434862979","1"
"Service","249.88216058836053","0"
"Service","258.06449884794756","0"
"Service","281.9159022947218","2"
"Service","284.8653368044097","2"
"Service","287.6829427775342","2"
"Service","291.2261916577993","2"
"Service","293.61778950273964","2"
"Service","299.51787345496507","2"
"Service","305.23328721094373","2"
"Service","307.51387089878176","2"
"Service","324.6789783566369","6"
"Service","332.39609414065944","6"
"Service","335.40633756935665","7"
"Service","352.5397106549802","10"
"Service","357.41330494367276","10"
"Service","362.725684392998","13"
"Service","369.74581669697045","14"
"Service","377.46443217497927","13"
"Service","381.6261326995382","13"
"Service","385.58848302866545","12"
"Service","389.27759673065464","12"
"Service","400.0647589909303","11"
"Service","404.6684383235364","10"
"Service","413.5043824994797","9"
"Service","417.3400266067391","8"
"Service","423.2249996227628","7"
"Service","428.3746199514493","6"
"Service","432.6495911837611","5"
"Service","437.0071974063182","4"
"Service","441.44346714563096","3"
"Service","447.85507100680945","2"
"Service","455.01629596341155","1"
"Service","459.9536068010709","0"
