"Event","Time","TotalJobs"
"Service","30.923390937453647","2"
"Service","32.04210505839486","1"
"Service","52.65082171105675","3"
"Service","53.13121936722078","2"
"Service","70.90439343315995","5"
"Service","71.67679672995396","4"
"Service","79.35502153657096","3"
"Service","95.33614468799907","4"
"Service","96.26327856827076","3"
"Service","96.60316019432929","2"
"Service","122.64000105736494","4"
"Service","124.64299516225799","4"
"Service","131.06186887037154","4"
"Service","141.2305100233484","4"
"Service","144.47772286968566","3"
"Service","147.77727686648228","2"
"Service","159.80301636666087","2"
"Service","164.90119274896767","1"
"Service","166.94320933848255","0"
"Service","200.72860180848377","5"
"Service","212.3055456149332","7"
"Service","214.7461067727169","6"
"Service","222.36479114490234","5"
"Service","231.2161887716774","6"
"Service","239.60226869371488","7"
"Service","245.11983348073113","7"
"Service","245.3546708337268","6"
"Service","259.2295730169102","8"
"Service","263.88457305687416","9"
"Service","271.4758557637026","8"
"Service","277.50281997108067","7"
"Service","288.68238897579164","7"
"Service","294.0503296613982","7"
"Service","301.1139871465824","7"
"Service","310.89936641463316","7"
"Service","312.76705980263523","6"
"Service","324.5763723108277","5"
"Service","330.67714045411316","4"
"Service","338.7792129943982","3"
"Service","340.7567090947687","2"
"Service","342.99223181077934","1"
"Service","370.25887580267016","5"
"Service","374.4143416536452","5"
"Service","378.1377014438727","5"
"Service","394.3099066441091","5"
"Service","395.53133785407647","4"
"Service","395.59184156751877","3"
"Service","411.6985120487569","2"
"Service","417.6030872952253","1"
"Service","419.2461481731583","0"
