"Event","Time","TotalJobs"
"Service","0.9759593382911328","0"
"Service","2.296063118275753","0"
"Service","3.365831009492396","0"
"Service","6.334422104834241","1"
"Service","6.9783631590521535","0"
"Service","8.91834724555922","2"
"Service","9.55605198800832","2"
"Service","10.292296114335292","1"
"Service","11.343093560331484","3"
"Service","12.345139029211497","4"
"Service","14.131253437946674","8"
"Service","14.735822629541888","8"
"Service","15.870800752490993","7"
"Service","16.923089053887583","7"
"Service","18.113945940901157","9"
"Service","19.712308868479166","11"
"Service","20.69600710226537","10"
"Service","22.19842314902528","10"
"Service","22.906223906593596","9"
"Service","23.33768288585192","8"
"Service","23.963177414527404","7"
"Service","25.07155691075666","6"
"Service","25.57602455865921","5"
"Service","27.42452511306494","5"
"Service","28.748189676950307","5"
"Service","29.363927070345735","4"
"Service","29.572026064838827","3"
"Service","29.749431626450487","2"
"Service","30.052054930790167","1"
"Service","30.663761253786564","1"
"Service","31.428930983073492","0"
"Service","32.45579883277391","0"
"Service","34.85448451600482","1"
"Service","35.931151314398356","1"
"Service","36.12661604910656","0"
"Service","39.32485358460198","3"
"Service","40.31340433182483","2"
"Service","41.18044264722869","4"
"Service","41.886289003396364","4"
"Service","42.47107696886935","3"
"Service","43.6743688355364","4"
"Service","44.26825176878794","3"
"Service","44.920871090573996","3"
"Service","46.15158356399725","3"
"Service","47.1228836522988","4"
"Service","48.90349880888679","5"
"Service","49.64145216539191","4"
"Service","51.062104110591214","6"
"Service","51.34755274954662","5"
"Service","52.98465815539663","5"
"Service","54.33956712021132","4"
"Service","55.70963830682661","4"
"Service","57.38544410686861","4"
"Service","58.657901668778756","3"
"Service","59.12461076999509","2"
"Service","60.330612810590345","4"
"Service","61.45872863268285","4"
"Service","62.531690887926324","5"
"Service","63.82203596305675","5"
"Service","64.76730753504827","5"
"Service","66.25228375441347","4"
"Service","66.93663945695319","3"
"Service","67.84170957723364","5"
"Service","69.17624050753919","5"
"Service","69.6604814538702","4"
"Service","71.39004952186743","4"
"Service","72.7628834362288","5"
"Service","73.63521479215258","4"
"Service","75.11232330740764","3"
"Service","76.03062156010634","2"
"Service","76.80153074581398","1"
"Service","78.02768627092631","2"
"Service","78.50549215754916","1"
"Service","79.44796244163972","1"
"Service","80.28889607664917","1"
"Service","81.44192413611542","0"
"Service","83.44826936821117","0"
"Service","84.87631284170034","2"
"Service","86.51979328545768","1"
