"Event","Time","TotalJobs"
"Service","145.96325878988566","6"
"Service","182.09006453271786","6"
"Service","266.0325437513049","7"
"Service","282.5915049732349","6"
"Service","362.416190665066","8"
"Service","391.8017035956597","10"
"Service","504.7584416911153","12"
"Service","547.7805942405029","11"
"Service","622.1233670148708","15"
"Service","659.0522647907907","16"
"Service","707.1948509418306","18"
"Service","780.5315485543882","19"
"Service","841.6037382909379","22"
"Service","861.2183759214374","22"
"Service","981.5806495756942","25"
"Service","998.007154616091","24"
"Service","1049.724781034245","24"
"Service","1144.3443990884844","26"
"Service","1182.531953298781","28"
"Service","1267.2218832646315","29"
"Service","1323.88567881236","32"
"Service","1357.176470618443","33"
"Service","1467.075019506018","34"
"Service","1484.2859978146303","34"
"Service","1601.5815732411352","37"
"Service","1615.339867095267","36"
"Service","1714.3404089976484","40"
"Service","1752.3403604383193","41"
"Service","1795.8467309623989","41"
"Service","1872.0087355888527","40"
"Service","1898.0633851054665","40"
"Service","1956.7247581786162","43"
"Service","2015.3176900979045","43"
"Service","2074.0512534661934","43"
"Service","2144.1384558916848","47"
"Service","2157.9477329762667","46"
"Service","2243.887104390015","50"
"Service","2256.139660469426","50"
"Service","2378.0880857484035","53"
"Service","2437.320676909176","54"
"Service","2495.6095997304537","56"
"Service","2544.9053267487498","56"
"Service","2631.8392538012145","58"
"Service","2700.6716745455965","59"
"Service","2717.3886070276208","59"
"Service","2808.618688355738","62"
"Service","2837.844094013257","62"
"Service","2901.391983747843","63"
"Service","2903.5747783317283","63"
"Service","3004.963958703652","66"
"Service","3018.055637242933","65"
"Service","3159.3489719492413","67"
"Service","3189.4069072203883","66"
"Service","3228.8819533611777","68"
"Service","3271.048402623506","70"
"Service","3321.22396319107","70"
"Service","3420.744157502347","72"
"Service","3441.0070132119895","72"
"Service","3519.414254019873","73"
"Service","3578.021297610014","73"
"Service","3673.1493196958068","77"
"Service","3695.0520280021833","78"
"Service","3800.6933555313844","82"
"Service","3818.4756924408243","82"
"Service","3895.959421838282","85"
"Service","3915.266868783781","86"
"Service","4001.841659938779","88"
"Service","4061.5629150292525","92"
"Service","4134.708603441679","94"
"Service","4185.291633866359","96"
"Service","4286.975290059291","97"
"Service","4325.842520701281","99"
"Service","4395.254581377364","100"
"Service","4492.437013277601","103"
"Service","4506.9387527697345","103"
"Service","4564.004711480572","106"
"Service","4675.344481090815","108"
"Service","4677.63058689942","107"
"Service","4791.916608602581","108"
"Service","4834.129799380173","110"
"Service","4928.176051900863","114"
"Service","4949.970864113153","113"
"Service","5031.988182620794","114"
"Service","5065.66126525368","113"
"Service","5143.505683180839","116"
"Service","5157.903487524748","117"
"Service","5204.8075572210855","117"
"Service","5260.8525573403","118"
"Service","5287.788225245603","117"
"Service","5380.924986779019","119"
"Service","5481.880074275613","122"
"Service","5512.4951242409215","123"
"Service","5595.9306173376","125"
"Service","5621.872809792841","124"
"Service","5736.183953507996","128"
"Service","5765.114836537225","128"
"Service","5868.7497697889075","131"
"Service","5917.670294887531","133"
"Service","5959.7231395442395","134"
"Service","6042.612417636334","140"
"Service","6088.437952466233","142"
"Service","6182.880547372065","148"
"Service","6210.715875218195","148"
"Service","6284.355808054928","150"
"Service","6319.741711892538","150"
"Service","6418.693077138237","155"
"Service","6448.561201529839","155"
"Service","6531.550994171817","158"
"Service","6600.4920380152225","159"
"Service","6617.304637072137","159"
"Service","6746.063781022936","161"
"Service","6752.050076155646","160"
"Service","6822.869711746478","159"
"Service","6870.147541379315","159"
"Service","6896.05111161402","158"
"Service","7002.407533645748","163"
"Service","7014.820365922101","163"
"Service","7106.08708871425","165"
"Service","7161.361835387722","165"
"Service","7231.353213739779","166"
"Service","7289.395728946499","168"
"Service","7356.336545292402","169"
"Service","7425.753152539637","172"
"Service","7488.166073303498","174"
"Service","7564.487757025916","177"
"Service","7606.816165247765","177"
"Service","7666.186375465047","178"
"Service","7716.811611015721","180"
"Service","7789.015869188288","183"
"Service","7797.515914764267","182"
"Service","7894.839014060939","183"
"Service","7920.012167191616","183"
"Service","8022.299319974437","188"
"Service","8036.6713589901965","187"
"Service","8163.651461083606","193"
"Service","8176.868640426237","192"
"Service","8282.707378297653","195"
"Service","8367.164650765355","197"
"Service","8430.367935743136","197"
"Service","8465.829518697647","200"
"Service","8513.278758764103","203"
"Service","8592.797147831448","204"
"Service","8609.481537606935","204"
"Service","8692.296891735934","205"
"Service","8719.54062189457","204"
"Service","8786.178040654533","207"
"Service","8918.903239633564","213"
"Service","8920.782909553689","212"
"Service","9036.91585196683","220"
"Service","9057.00318025102","221"
"Service","9170.916102891859","225"
"Service","9184.855425459946","224"
"Service","9331.023526572257","232"
"Service","9352.673414220682","233"
"Service","9460.924799330565","239"
"Service","9489.70708371893","238"
"Service","9578.106310154402","238"
"Service","9655.753792247142","242"
"Service","9708.01490788564","244"
"Service","9746.828087860094","243"
"Service","9802.797934471168","244"
"Service","9864.552761133726","244"
"Service","9910.49270388769","246"
"Service","9989.97953114985","254"
"Service","9995.35911644534","253"
"Service","10093.235323263983","254"
"Service","10166.79503821932","257"
"Service","10226.544230358357","256"
"Service","10286.487561103377","257"
"Service","10312.806497766565","256"
"Service","10409.897389669124","257"
"Service","10416.424221821148","256"
"Service","10515.52878782444","262"
"Service","10587.285612116186","263"
"Service","10653.23607385519","267"
"Service","10672.870837662791","267"
"Service","10779.88329618048","270"
"Service","10783.48944677472","269"
"Service","10938.489874177896","278"
"Service","10949.06974640271","278"
"Service","11045.949721733092","280"
"Service","11047.099290317172","279"
"Service","11147.454927164694","281"
"Service","11191.923805480505","284"
"Service","11273.929492499727","288"
"Service","11316.302185946168","286"
"Service","11353.098034256223","286"
"Service","11423.520504488379","289"
"Service","11433.962342572248","288"
"Service","11528.394963036497","293"
"Service","11544.225663068422","293"
"Service","11629.749971160763","295"
"Service","11643.03188037536","294"
"Service","11742.6027198369","296"
"Service","11773.110954366537","297"
"Service","11877.598064912721","303"
"Service","11941.721577649087","304"
"Service","11990.486758410709","306"
"Service","12015.705894938872","307"
"Service","12111.07071875375","309"
"Service","12122.27173052202","308"
"Service","12192.579496543049","310"
"Service","12247.052363099585","311"
"Service","12318.056071423905","313"
"Service","12370.62793149812","312"
"Service","12420.196102050924","314"
"Service","12502.785787101639","320"
"Service","12524.708409262146","321"
"Service","12605.015317577465","323"
"Service","12672.305767874026","324"
"Service","12740.072789552873","326"
"Service","12757.920866203003","325"
"Service","12865.391535580915","331"
"Service","12910.606506091937","332"
"Service","12980.481186424953","334"
"Service","13031.239511942893","338"
"Service","13126.111210334768","340"
"Service","13165.455402842243","342"
"Service","13248.709427124444","345"
"Service","13264.495828234712","344"
"Service","13337.337240355326","343"
"Service","13378.12044301156","343"
"Service","13457.904531973862","346"
"Service","13469.986676752103","345"
"Service","13546.986746551536","348"
"Service","13596.286004628024","349"
"Service","13673.955289188894","351"
"Service","13739.920812563229","350"
"Service","13792.162724979658","350"
"Service","13861.191425433128","355"
"Service","13946.986569404053","355"
"Service","13965.092072136747","355"
"Service","14063.720731649844","358"
"Service","14065.298341236667","357"
"Service","14170.741324905995","364"
"Service","14197.336747314062","365"
"Service","14299.506396493303","369"
"Service","14350.671224549187","368"
"Service","14443.690620264075","372"
"Service","14444.105809011757","371"
"Service","14511.493083342033","375"
"Service","14516.50845775428","375"
"Service","14663.16399082053","382"
"Service","14712.018988816937","385"
"Service","14771.555777911166","386"
"Service","14869.602336257438","388"
"Service","14901.679315284855","388"
"Service","15001.97875631231","393"
"Service","15010.064618728045","394"
"Service","15066.940659913567","396"
"Service","15135.16832146454","400"
"Service","15223.82488358858","402"
"Service","15290.656937117803","404"
"Service","15294.88718614306","403"
"Service","15377.400957945913","405"
"Service","15409.484880573467","405"
"Service","15470.574853265414","405"
"Service","15485.811429336916","405"
"Service","15580.163009165126","410"
"Service","15631.1890137069","413"
"Service","15723.486445836339","415"
"Service","15738.087377064843","414"
"Service","15824.954253317766","414"
"Service","15870.045998659802","415"
"Service","15932.333377508558","414"
"Service","16012.842178427274","415"
"Service","16048.54417960569","416"
"Service","16142.197634516093","420"
"Service","16215.482111546256","420"
"Service","16287.495906878135","419"
"Service","16303.549864149121","418"
"Service","16396.67600037855","418"
"Service","16444.737384712895","419"
"Service","16489.386716205736","419"
"Service","16560.96492559279","419"
"Service","16592.101263380147","419"
"Service","16665.63538856743","423"
"Service","16692.171927971798","425"
"Service","16779.3908718511","429"
"Service","16840.97510188646","434"
"Service","16882.69511151729","433"
"Service","16980.412504092892","436"
"Service","17054.5121465445","438"
"Service","17107.055196616056","441"
"Service","17219.267910622064","445"
"Service","17273.647318333686","445"
"Service","17384.740758781103","448"
"Service","17395.943692713743","447"
"Service","17471.05199453684","448"
"Service","17504.13216944035","450"
"Service","17578.978035115793","451"
"Service","17643.709474931624","454"
"Service","17730.42130391898","457"
"Service","17816.747827179246","462"
"Service","17884.92189623207","463"
"Service","17967.694580861065","465"
"Service","17992.95141803376","466"
"Service","18097.965262013437","467"
"Service","18139.457443853116","468"
"Service","18190.320774530835","469"
"Service","18259.963922879957","473"
"Service","18317.86152267722","474"
"Service","18380.014991365348","478"
"Service","18420.503430298017","479"
"Service","18504.635120379102","479"
"Service","18529.33075828005","480"
"Service","18619.065797253148","480"
"Service","18648.135628370903","480"
"Service","18745.959247126415","483"
"Service","18758.70594344049","483"
"Service","18858.549993740566","487"
"Service","18921.60208995681","489"
"Service","18928.56568151638","488"
"Service","19034.017705414302","493"
"Service","19038.182449396496","492"
"Service","19115.041931248823","494"
"Service","19145.782020545023","495"
"Service","19232.26738794862","496"
"Service","19234.946329056507","495"
"Service","19300.300695992257","498"
"Service","19391.85080427883","500"
"Service","19484.74106234031","507"
"Service","19519.146319681655","507"
"Service","19632.55289359019","510"
"Service","19644.517024799432","510"
"Service","19758.112417760425","514"
"Service","19767.430915217796","513"
"Service","19840.684123206738","516"
"Service","19864.604775106338","515"
"Service","19957.59290983553","516"
"Service","20002.137351713238","516"
"Service","20081.988774009656","519"
"Service","20097.329396103753","518"
"Service","20209.51483587351","524"
"Service","20224.832696286263","524"
"Service","20321.87001947691","526"
"Service","20370.339864080768","528"
"Service","20471.350268693015","531"
"Service","20485.82262131295","530"
"Service","20600.46403364028","535"
"Service","20611.616614757182","535"
"Service","20749.568483612682","542"
"Service","20774.790900189426","541"
"Service","20886.07264555212","546"
"Service","20912.92761028013","546"
"Service","21024.20031001141","551"
"Service","21069.727229117067","553"
"Service","21131.1791538557","556"
"Service","21170.26277593682","555"
"Service","21307.366077318766","557"
"Service","21309.76458737955","556"
"Service","21407.524374202334","558"
"Service","21423.72696624743","558"
"Service","21554.322918378642","563"
"Service","21561.379458440333","563"
"Service","21667.980612880227","563"
"Service","21678.84185951267","562"
"Service","21764.504349269657","563"
"Service","21782.929564276565","563"
"Service","21892.257746350228","565"
"Service","21913.590709878732","564"
"Service","22024.309338091673","569"
"Service","22027.802973192378","568"
"Service","22103.5577717916","571"
"Service","22119.51044289589","571"
"Service","22190.8598307399","571"
"Service","22214.718400970567","572"
"Service","22285.2286247511","575"
"Service","22359.018239110133","579"
"Service","22423.61720493794","578"
"Service","22432.20041447873","578"
"Service","22555.385106085556","584"
"Service","22590.740081596578","584"
"Service","22713.79418595425","587"
"Service","22726.838670944584","586"
"Service","22840.111114116833","589"
"Service","22857.80494758036","589"
"Service","22935.13373217061","594"
"Service","23009.703825999528","597"
"Service","23053.435505705587","598"
"Service","23156.710208744535","604"
"Service","23186.54798898501","604"
"Service","23277.170135335586","607"
"Service","23324.084045692263","608"
"Service","23406.9550524847","608"
"Service","23490.458643270747","610"
"Service","23564.62451376625","614"
"Service","23636.445274920214","614"
"Service","23709.04978837208","616"
"Service","23766.568518227545","619"
"Service","23827.674174229465","621"
"Service","23910.43996353366","625"
"Service","23947.9046059224","624"
"Service","24024.02064807836","626"
"Service","24029.108307564267","626"
"Service","24100.32546555397","626"
"Service","24169.173860116844","630"
"Service","24228.107634848817","630"
"Service","24289.114107703044","632"
"Service","24316.267491480125","633"
"Service","24432.610029092608","635"
"Service","24464.337837433923","634"
"Service","24555.329089065617","637"
"Service","24585.01024478268","636"
"Service","24635.073981355315","639"
"Service","24746.268279351065","642"
"Service","24799.714925857774","644"
"Service","24877.762733120777","649"
"Service","24903.922727450165","648"
"Service","25009.192228996955","651"
"Service","25026.7125813307","651"
"Service","25124.148619344418","653"
"Service","25150.497950330046","654"
"Service","25248.796716281115","661"
"Service","25252.301814657654","661"
"Service","25332.497670558056","661"
"Service","25370.077020159308","663"
"Service","25474.4605064257","667"
"Service","25486.460731992185","667"
"Service","25565.145707763306","669"
"Service","25616.904024981588","670"
"Service","25720.067934741648","673"
"Service","25731.635988299706","673"
"Service","25813.295073523575","679"
"Service","25839.643149569456","678"
"Service","25924.19268754537","683"
"Service","26054.90164390704","686"
"Service","26078.19559427314","688"
"Service","26164.538384530326","692"
"Service","26170.00679798389","691"
"Service","26283.619051482685","694"
"Service","26321.93054483998","695"
"Service","26443.11836191699","699"
"Service","26444.756593921004","698"
"Service","26521.60150847389","701"
"Service","26600.522921518317","702"
"Service","26630.75197760898","702"
"Service","26768.30128782118","708"
"Service","26824.314480869907","708"
"Service","26862.98161613711","707"
"Service","26922.44825084324","707"
"Service","26929.931583706708","706"
"Service","27046.560330753087","706"
"Service","27080.88152603449","707"
"Service","27170.116003576724","709"
"Service","27208.05568490117","709"
"Service","27259.737490534597","712"
"Service","27337.019766926638","712"
"Service","27349.491282254872","711"
"Service","27490.68718093094","718"
"Service","27520.364339713684","719"
"Service","27600.89210699992","718"
"Service","27675.523278748453","720"
"Service","27700.254383240466","720"
"Service","27804.04709300035","726"
"Service","27804.423260055017","725"
"Service","27944.136746990596","730"
"Service","27962.896717716052","729"
"Service","28038.53474876602","733"
"Service","28109.465679995894","733"
"Service","28158.328019579807","732"
"Service","28254.631179805005","738"
"Service","28263.08469632421","738"
"Service","28406.66844520314","740"
"Service","28411.384290201386","739"
"Service","28545.290545391206","743"
"Service","28548.43263545264","742"
"Service","28661.67082013927","744"
"Service","28674.680493400963","743"
"Service","28763.039774821125","748"
"Service","28776.827024420327","748"
"Service","28852.28341334567","752"
"Service","28910.741870038953","753"
"Service","28965.01102544522","755"
"Service","29037.68814162058","755"
"Service","29118.50399836858","757"
"Service","29158.139593318512","758"
"Service","29221.113729799377","760"
"Service","29268.214518247758","761"
"Service","29363.771737530693","763"
"Service","29368.3363023501","762"
"Service","29462.577619317377","764"
"Service","29468.26609770153","763"
"Service","29541.886411742424","773"
"Service","29566.86717798015","773"
"Service","29649.118874115222","777"
"Service","29702.11642005605","777"
"Service","29767.753975339645","778"
"Service","29834.33054455528","778"
"Service","29892.454129532463","778"
"Service","29937.296622773225","782"
"Service","30004.82193069217","783"
"Service","30068.325668679372","784"
"Service","30159.539580972778","786"
"Service","30186.23146128763","787"
"Service","30263.404046211297","789"
"Service","30294.877919315088","789"
"Service","30411.723107211885","793"
"Service","30437.2322724473","792"
"Service","30553.98306137622","796"
"Service","30583.65435595866","796"
"Service","30685.415303549238","797"
