"Event","Time","TotalJobs"
"Service","19.34791239527072","0"
"Service","31.170825089345907","2"
"Service","34.727827725487536","1"
"Service","36.65912726921796","0"
"Service","61.803714196807874","0"
"Service","70.73704870279099","0"
"Service","79.94718871597958","1"
"Service","80.04812125550707","0"
"Service","91.5425107696634","0"
"Service","100.05504052096394","0"
"Service","110.32167800855865","0"
"Service","131.24182509175947","1"
"Service","133.4313868194349","0"
"Service","146.28144058087975","1"
"Service","151.7612213889418","0"
"Service","170.37213178924057","1"
"Service","171.49449591744622","0"
"Service","181.81438208034683","0"
"Service","186.2353066617721","0"
"Service","201.12945361102425","0"
"Service","205.6760989885242","1"
"Service","209.5656235397562","1"
"Service","213.86288103864078","1"
"Service","217.9530056952841","1"
"Service","224.44229187742394","0"
"Service","235.18565928875756","0"
"Service","249.2815784530753","0"
"Service","264.9365753037338","0"
"Service","283.74832970510204","1"
"Service","284.2847985398462","0"
"Service","289.794654402299","1"
"Service","297.22400011808986","1"
"Service","302.55196949628726","1"
"Service","309.2385726541877","0"
"Service","317.9900298739622","0"
"Service","328.9620712296068","1"
"Service","329.93720690064407","0"
"Service","348.34599124559924","1"
"Service","351.5875724299259","0"
"Service","360.09839170939733","1"
"Service","364.5814984754078","1"
"Service","369.15408493756354","1"
"Service","375.0624224711527","1"
"Service","375.07073899485266","0"
"Service","381.24900184048084","0"
"Service","390.758323752301","1"
"Service","397.5457203517613","0"
"Service","423.2049584739951","0"
"Service","432.787359371625","1"
"Service","436.1572624613502","0"
"Service","444.91888215985796","0"
"Service","449.7722931463245","0"
"Service","478.7588207535425","0"
"Service","485.06268321762724","0"
"Service","494.225153539981","0"
"Service","519.0960204514827","1"
"Service","521.740622116231","1"
"Service","527.2050823628874","0"
"Service","546.9585898262437","1"
"Service","553.9236087389187","0"
"Service","569.4495303116537","1"
"Service","573.1494017718843","1"
"Service","578.093038105045","1"
"Service","584.1647905243609","1"
"Service","591.4725243197902","1"
"Service","594.3557676362755","0"
"Service","608.860212201736","0"
"Service","621.2284924821546","1"
"Service","621.7099510006259","0"
"Service","628.7668829744375","0"
"Service","641.4878223305354","0"
"Service","649.6225162747636","0"
"Service","663.3422269724999","2"
"Service","667.3508357903451","2"
"Service","668.2139981758298","1"
"Service","669.3016999413192","0"
"Service","679.7619069232746","1"
"Service","681.8673526347256","0"
"Service","702.52499882742","1"
"Service","709.7161942459757","0"
"Service","717.2880640633574","0"
"Service","730.5906772977389","1"
"Service","732.3278063476032","0"
"Service","743.5712173200803","0"
"Service","775.8654358934099","0"
"Service","783.3568200263425","0"
"Service","788.4827754548609","1"
"Service","794.9179377294626","0"
"Service","801.8000158008898","0"
"Service","811.1100629090579","0"
"Service","818.6966299589975","1"
"Service","823.6865179611384","1"
"Service","827.7236053472698","1"
"Service","831.4858147006984","0"
"Service","841.2820469402187","1"
"Service","847.7791185557217","0"
"Service","858.308917141227","0"
"Service","866.5200764993454","0"
"Service","897.923546269275","0"
"Service","910.081426583432","1"
"Service","913.7332294951153","1"
"Service","917.2511550614912","0"
"Service","924.8706518042288","0"
"Service","936.9901913361741","2"
"Service","940.3577650165944","1"
"Service","940.9492991538459","0"
"Service","957.6826118594365","1"
"Service","963.1159347870372","0"
"Service","974.4894103771023","1"
"Service","978.3769113479937","1"
"Service","982.0161677403673","0"
"Service","988.8166496085458","1"
"Service","992.6107695835875","1"
"Service","996.3780268370494","0"
"Service","1015.7005140447251","0"
"Service","1023.7397749529466","0"
"Service","1033.1168864062893","1"
"Service","1039.6379228729909","0"
"Service","1051.7273737697728","0"
"Service","1058.6472499272609","1"
"Service","1064.6854932605352","0"
"Service","1073.9020853111053","1"
"Service","1078.6545132177457","1"
"Service","1085.647239610796","0"
"Service","1105.328876638115","0"
"Service","1118.3701542190577","2"
"Service","1119.5907996535739","1"
"Service","1123.3472953589408","2"
"Service","1129.3653890048524","1"
"Service","1130.279791028078","0"
"Service","1150.4013873728265","1"
"Service","1151.19932209823","0"
