"Event","Time","TotalJobs"
"Service","19.21683411549036","11"
"Service","19.735346823033193","10"
"Service","20.822270837724037","10"
"Service","25.328610558535345","13"
"Service","30.460107305472846","17"
"Service","34.46166761984031","17"
"Service","37.67210046675472","20"
"Service","42.18080702911903","21"
"Service","42.814549805892554","20"
"Service","50.33536885572942","22"
"Service","53.5032911426703","24"
"Service","57.363366116193205","26"
"Service","59.663716036542425","26"
"Service","69.0157506137686","31"
"Service","69.95494616331104","32"
"Service","76.1460338693231","35"
"Service","76.77362925622273","34"
"Service","80.62498244222024","35"
"Service","82.08082749394748","34"
"Service","92.44688468414562","38"
"Service","92.53512690564908","37"
"Service","95.65685815741591","38"
"Service","96.01127616956451","37"
"Service","102.77721479157009","43"
"Service","110.27051803632287","49"
"Service","110.829713880136","48"
"Service","113.61695101757537","46"
"Service","117.9925953911119","49"
"Service","130.5570030083479","61"
"Service","130.72544060364416","60"
"Service","132.3726336258335","60"
"Service","139.2147108827757","64"
"Service","148.02288322005018","72"
"Service","151.7949323356548","73"
"Service","155.13793966902693","74"
"Service","156.03984435154342","75"
"Service","164.1233558058982","77"
"Service","165.1367923335783","77"
"Service","165.947566465774","76"
"Service","174.04197684373727","82"
"Service","176.02254424285516","81"
"Service","180.59297603971493","85"
"Service","181.71602304536435","88"
"Service","190.22075404623982","92"
"Service","190.49126387151156","91"
"Service","192.74718088179327","91"
"Service","203.51535031492006","99"
"Service","205.4483946470319","102"
"Service","207.6484835273654","102"
"Service","209.58550194962","102"
"Service","217.35644909075648","105"
"Service","217.66233209606682","104"
"Service","221.74426584943032","109"
"Service","222.10076616714525","108"
"Service","233.50045610634737","115"
"Service","234.58657453206146","116"
"Service","237.67745024459217","117"
"Service","246.18334682781028","121"
"Service","252.12343968497143","124"
"Service","252.31577661732138","124"
"Service","253.63430734282537","124"
"Service","262.7396267578928","129"
"Service","262.820542408524","128"
"Service","266.62534062233647","128"
"Service","274.9073134429328","135"
"Service","277.0535103876207","135"
"Service","277.1365802061331","134"
"Service","283.1885020244719","138"
"Service","289.05082597956306","141"
"Service","293.9762886944183","147"
"Service","295.1730048770719","147"
"Service","297.04394523551207","149"
"Service","304.0288012144312","153"
"Service","308.6341950229802","157"
"Service","310.6931304639961","157"
"Service","312.24995581514077","157"
"Service","319.30064153517895","158"
"Service","323.4558127780839","160"
"Service","324.831946326307","159"
"Service","329.5705062244009","158"
"Service","330.14088673770993","157"
"Service","336.0054208492075","163"
"Service","340.8649491069449","166"
"Service","347.46624227141183","171"
"Service","353.0224624452485","174"
"Service","353.9732197999408","174"
"Service","361.24604403820814","175"
"Service","363.0848152483193","174"
"Service","368.19029314912694","178"
"Service","369.9666817808908","179"
"Service","377.66950795394075","181"
"Service","379.0420145204415","181"
"Service","379.4072934935228","181"
"Service","382.60191696517285","184"
"Service","393.0282930328765","190"
"Service","394.02647129504317","189"
"Service","396.1656574998292","188"
"Service","403.7468690703004","187"
"Service","405.760101052688","186"
"Service","409.1732187512389","185"
"Service","415.9129837296572","184"
"Service","420.50860904618537","183"
"Service","420.9606634611164","182"
"Service","425.9364913601369","181"
"Service","429.7662053224833","180"
"Service","432.57973486148046","179"
"Service","438.30673900042615","178"
"Service","441.28753177198615","177"
"Service","444.4498120289891","176"
"Service","449.19614793548504","175"
"Service","455.95092456390324","174"
"Service","457.0410205102823","173"
"Service","457.3014936307477","172"
"Service","459.9194341894299","171"
"Service","469.50217427110675","170"
