"Event","Time","TotalJobs"
"Service","21.454373417076255","3"
"Service","28.65310992519743","2"
"Service","40.48744024909125","2"
"Service","49.561708585499574","1"
"Service","62.40596499833822","3"
"Service","66.62123212340663","2"
"Service","77.83249124185176","1"
"Service","88.12657440999405","1"
"Service","97.1244690599481","1"
"Service","115.05444824850225","2"
"Service","122.99684555181793","2"
"Service","135.58621804165264","3"
"Service","143.04382528222246","4"
"Service","158.81449104102623","4"
"Service","163.93464078562621","4"
"Service","164.47550013055957","3"
"Service","177.0475833643159","6"
"Service","187.77045430016364","7"
"Service","194.79158097600552","6"
"Service","213.55281313846365","7"
"Service","222.82862689344168","6"
"Service","223.1270340244738","5"
"Service","235.11877515146833","6"
"Service","238.0181124544256","7"
"Service","253.56896823443935","7"
"Service","259.24282733039485","7"
"Service","265.5750949892722","6"
"Service","276.90281563176364","5"
"Service","287.1390729250803","6"
"Service","289.96807047896436","5"
"Service","299.1579757254986","6"
"Service","303.44735953473923","8"
"Service","310.0678406869624","7"
"Service","321.3975735476875","7"
"Service","325.3435839888093","6"
"Service","327.02161341110167","6"
"Service","341.50203601799774","5"
"Service","347.96373739237197","4"
"Service","350.5959104330538","3"
"Service","359.6835132162965","3"
"Service","359.81235731677225","2"
"Service","379.7589912665891","3"
"Service","387.96152274259936","2"
"Service","393.521935803834","3"
"Service","400.1529491130871","2"
"Service","411.6188147668577","1"
"Service","426.42305164286194","0"
"Service","479.8414335298065","7"
"Service","481.56075364047655","6"
"Service","490.5795115477085","7"
"Service","502.2734862743031","8"
"Service","505.7482170888602","7"
"Service","514.5995480960179","8"
"Service","522.2742703011108","8"
"Service","523.8730484135087","7"
"Service","536.2041897294331","6"
"Service","545.547357730187","5"
"Service","545.8430680974161","4"
"Service","556.863069698544","4"
"Service","564.495187034751","4"
"Service","571.0671759104943","3"
"Service","586.5706582591653","2"
"Service","593.7565009205821","1"
"Service","610.3043700416039","3"
"Service","620.0085198426628","3"
"Service","623.0023447599244","2"
"Service","639.0986398569033","2"
"Service","649.0822856612216","5"
"Service","657.1542451960436","5"
"Service","660.08924599721","4"
"Service","671.440286871928","4"
"Service","679.1568241156697","3"
"Service","683.1768226459733","5"
"Service","693.7008518203827","5"
"Service","699.5427346342706","4"
"Service","707.0728711159097","3"
"Service","722.4305288086756","5"
"Service","731.1237412288388","7"
"Service","735.619853866726","7"
"Service","751.7459155331698","9"
"Service","757.5620117482277","8"
"Service","769.2207034097079","8"
"Service","774.204997017667","7"
"Service","774.3028565552922","6"
"Service","787.7653202407065","9"
"Service","791.66241178158","8"
"Service","799.8376141571061","7"
"Service","821.5606471194972","8"
"Service","831.4077138680728","9"
"Service","835.232563143177","9"
"Service","853.0100637220005","12"
"Service","853.3696475202535","11"
"Service","853.966352598883","10"
"Service","864.5795543041496","9"
"Service","879.1226749172438","8"
"Service","883.8955746271243","8"
"Service","884.8385382789146","7"
"Service","899.5570326569522","8"
"Service","907.0045915199296","7"
"Service","911.2344138222383","7"
"Service","925.6307286248776","10"
"Service","932.3325595616008","9"
"Service","936.3784321412352","8"
"Service","938.9279923662399","7"
"Service","947.2697989720004","8"
"Service","958.1225323872154","8"
"Service","964.9797980129358","7"
"Service","966.1330855534609","6"
"Service","982.4657860051619","6"
"Service","987.4919284603193","6"
"Service","994.9254169403822","7"
"Service","1006.2455376984922","8"
"Service","1007.4110858554671","7"
"Service","1007.6063947218946","6"
"Service","1022.6970623198799","5"
"Service","1031.2929909105399","6"
"Service","1039.9543573486164","7"
"Service","1041.9158989972254","6"
"Service","1054.2724325219065","7"
"Service","1067.2831303705063","7"
"Service","1071.9055724882385","7"
"Service","1080.053428132568","6"
"Service","1091.0773628366521","6"
"Service","1097.1201611649494","6"
"Service","1099.2500675803021","5"
"Service","1101.3174075882482","4"
"Service","1113.6576709757162","4"
"Service","1123.4295137273587","5"
"Service","1125.8335321142706","5"
"Service","1135.827784120182","4"
"Service","1153.224686135646","6"
"Service","1155.5209792659957","5"
"Service","1166.6842421015715","5"
"Service","1182.0792951101096","7"
"Service","1182.4464822547764","6"
"Service","1184.6667187705116","5"
"Service","1208.4322566676672","7"
"Service","1211.0751756756647","7"
"Service","1217.0398611426326","7"
"Service","1224.7700147954035","9"
"Service","1226.3871881142666","8"
"Service","1237.4634074756957","9"
"Service","1243.7541277361647","9"
"Service","1252.9322193240803","9"
"Service","1264.6520293841743","9"
"Service","1272.2990929383905","8"
"Service","1277.0558158458978","7"
"Service","1288.466781682567","9"
"Service","1293.7332232735507","8"
"Service","1298.8617026193133","8"
"Service","1313.3841635657334","8"
"Service","1316.232612846557","7"
"Service","1329.3258166096348","8"
"Service","1338.6281619005456","8"
"Service","1343.9020216803988","7"
"Service","1350.8166424438937","7"
"Service","1377.6420789144768","11"
"Service","1379.0132219436875","10"
"Service","1381.4642520354912","10"
"Service","1391.7021288064032","9"
"Service","1402.4700084778422","11"
"Service","1410.6790201075278","11"
"Service","1413.420184969204","10"
"Service","1423.7333463073865","12"
"Service","1426.4053369671506","11"
"Service","1439.7329315596053","12"
"Service","1440.5338863375064","11"
"Service","1451.856291575287","10"
"Service","1462.9285235561854","12"
"Service","1468.8488219733028","11"
"Service","1475.6310385246393","11"
"Service","1496.4251467604536","10"
"Service","1499.6087729972944","9"
"Service","1500.0029407854242","8"
"Service","1525.9411205659148","10"
"Service","1528.0282691112766","9"
"Service","1531.0339248244559","8"
"Service","1542.2931366358785","9"
"Service","1551.7338458120603","8"
"Service","1551.8978717446666","7"
"Service","1556.3515000054758","6"
"Service","1567.417711325206","8"
"Service","1571.7212753463139","7"
"Service","1578.9172015127963","6"
"Service","1586.558519160746","5"
"Service","1594.3793593524226","4"
"Service","1604.0214406825885","6"
"Service","1616.329268350298","8"
"Service","1624.7934338012208","8"
"Service","1632.2201393682376","7"
"Service","1639.4991309392312","6"
"Service","1644.1922713937433","5"
"Service","1658.9941527542478","6"
"Service","1659.454352862324","6"
"Service","1672.2181144216943","7"
"Service","1677.7730869788618","6"
"Service","1685.8660061543706","6"
"Service","1698.0013802925816","7"
"Service","1698.8836247128456","6"
"Service","1712.8439962720856","6"
"Service","1723.4493364163316","6"
"Service","1735.2890491990572","7"
"Service","1736.3078847837298","6"
"Service","1753.5077079702796","10"
"Service","1759.1310044202216","11"
"Service","1763.849268729166","10"
"Service","1772.739772112583","11"
"Service","1779.631289261921","10"
"Service","1785.6474074563941","11"
"Service","1793.0578858931046","11"
"Service","1798.3674133999302","10"
"Service","1808.5447338936656","9"
"Service","1812.6975640760647","8"
"Service","1828.0105891057947","9"
"Service","1830.8733931016034","8"
"Service","1844.638392599558","7"
"Service","1852.3857736124999","8"
"Service","1862.822774208984","9"
"Service","1876.091745529111","10"
"Service","1881.967248930954","10"
"Service","1898.9379345398452","11"
"Service","1903.6007038789091","10"
"Service","1918.3168546615611","10"
"Service","1925.9357418621803","9"
"Service","1934.5097843137073","8"
"Service","1945.7380984948659","8"
"Service","1955.2670298476205","8"
"Service","1962.460980360918","8"
"Service","1967.7250680297093","8"
"Service","1974.1668347562434","8"
"Service","1995.6558262991675","7"
"Service","1995.9096858359853","6"
"Service","2003.7639182431221","5"
"Service","2010.8155345881542","5"
"Service","2014.239413205215","4"
"Service","2022.870391841972","5"
"Service","2030.0138592228861","5"
"Service","2035.749918307909","6"
"Service","2049.870473075142","6"
"Service","2053.4548017429097","6"
"Service","2057.5155093083463","5"
"Service","2063.9345632666327","7"
"Service","2078.204561868741","6"
"Service","2088.6271902591634","8"
"Service","2090.5271139297834","8"
"Service","2101.0575108626435","7"
"Service","2106.624508852635","6"
"Service","2111.055428619699","5"
"Service","2123.786948154321","5"
"Service","2125.8308644554304","4"
"Service","2134.4582426423744","4"
"Service","2149.9071608947575","5"
"Service","2151.692369694393","4"
"Service","2156.2224325055054","4"
"Service","2165.2866215095005","4"
"Service","2182.45340761071","4"
"Service","2189.176951852715","4"
"Service","2191.229888895487","3"
"Service","2201.9846256004075","2"
"Service","2208.717932458319","2"
"Service","2215.8751666679905","4"
"Service","2231.6211173699435","6"
"Service","2244.5129144119396","6"
"Service","2245.193285673203","5"
"Service","2261.819315337296","8"
"Service","2268.457136308399","9"
"Service","2275.5670297099477","10"
"Service","2295.038888885818","14"
"Service","2297.533125566089","14"
"Service","2312.368139094481","15"
"Service","2314.0508183063616","14"
"Service","2325.9930600375296","14"
"Service","2328.8428337922496","13"
"Service","2337.0624165034214","11"
"Service","2347.6111024082943","10"
"Service","2349.733471822049","10"
"Service","2358.0106517133277","9"
"Service","2364.6042944678984","9"
"Service","2375.066861427181","8"
"Service","2380.499923436976","7"
"Service","2390.0146852270304","9"
"Service","2398.9683513696714","9"
"Service","2405.714419533886","8"
"Service","2409.73580654054","8"
"Service","2419.2995385698505","9"
"Service","2440.4517975572635","9"
"Service","2442.3862056270086","8"
"Service","2454.999609487759","9"
"Service","2462.032066445705","8"
"Service","2469.2434817775475","8"
"Service","2485.874055993813","12"
"Service","2496.0582233928862","12"
"Service","2502.3301280380488","12"
"Service","2504.7797694812775","11"
"Service","2514.0596512124284","13"
"Service","2529.305951347339","13"
"Service","2538.141438265851","13"
"Service","2551.9436841705256","12"
"Service","2553.1468112966595","11"
"Service","2559.5100607510344","10"
"Service","2565.8511701624197","10"
"Service","2577.9950024497593","12"
"Service","2582.5425515948314","11"
"Service","2588.122160587409","10"
"Service","2606.5681443611525","12"
"Service","2609.782060574735","12"
"Service","2617.0754695206983","11"
"Service","2629.6850475814126","11"
"Service","2634.141752285199","10"
"Service","2636.2006677983936","9"
"Service","2657.4190569503667","8"
"Service","2662.0227267063424","7"
"Service","2666.1594618235526","6"
"Service","2682.0378854783585","8"
"Service","2690.6806249284828","8"
"Service","2695.1838441706946","9"
"Service","2698.097454249339","9"
"Service","2715.2455000164987","8"
"Service","2726.6154456783215","9"
"Service","2729.70104853829","8"
"Service","2730.566545392309","7"
"Service","2750.4225842125484","8"
"Service","2754.376205647252","7"
"Service","2763.185275984884","7"
"Service","2778.5749293062113","7"
"Service","2780.739600345982","6"
"Service","2781.2707751196403","5"
"Service","2795.3877114136744","5"
"Service","2807.6077394112576","4"
"Service","2808.8191450669096","3"
"Service","2810.5486996134987","2"
"Service","2825.7611894512656","3"
"Service","2831.4992514069463","5"
"Service","2839.7247130270184","7"
"Service","2849.8475544081384","7"
"Service","2855.368030530495","6"
"Service","2870.1525472856647","8"
"Service","2880.9599476151175","8"
"Service","2882.205094812966","8"
"Service","2885.646265376256","7"
"Service","2899.916673143213","6"
"Service","2900.9311067405383","5"
"Service","2908.5580633763598","4"
"Service","2914.814633191707","3"
"Service","2916.9628283955585","2"
"Service","2927.1647668335568","4"
"Service","2933.18180794377","5"
"Service","2948.429656789847","7"
"Service","2957.5257471095497","6"
"Service","2958.9146664770683","5"
"Service","2972.241725288942","4"
"Service","2975.093507049593","3"
"Service","2977.9704051359577","2"
"Service","2991.353006468256","3"
"Service","2994.183998968415","2"
"Service","3011.332349759452","4"
"Service","3020.1570397974033","5"
"Service","3021.6775052588737","4"
"Service","3039.705900210934","6"
"Service","3047.2666542087845","5"
"Service","3058.562508369569","5"
"Service","3061.8695281902","4"
"Service","3075.324318433248","6"
"Service","3079.441574064628","6"
"Service","3088.854600556053","5"
"Service","3094.0076802452118","5"
"Service","3112.063540320617","6"
"Service","3112.1502537496613","5"
"Service","3125.631460400733","4"
"Service","3133.839121391614","5"
"Service","3142.509218022656","4"
"Service","3157.715137247719","5"
"Service","3158.456611358385","4"
"Service","3173.372653121042","4"
"Service","3179.0574202097273","3"
"Service","3187.856169445104","2"
"Service","3193.5679711422754","3"
"Service","3206.1567490091034","4"
"Service","3212.6979702671447","3"
"Service","3221.57534381105","2"
"Service","3228.3282214836972","2"
"Service","3231.747156440304","1"
"Service","3253.1423881468504","6"
"Service","3256.0219733446456","5"
"Service","3271.6586989921207","4"
"Service","3272.131602480083","3"
"Service","3272.5604217533496","2"
"Service","3290.539170382827","3"
"Service","3310.0503971170488","3"
"Service","3310.703887049675","2"
"Service","3312.6510348277425","1"
"Service","3334.728893629095","3"
"Service","3346.4321875568558","4"
"Service","3348.833257765386","4"
"Service","3362.8626170276902","4"
"Service","3368.3251199022397","3"
"Service","3371.2616925749057","2"
"Service","3375.083515057459","1"
"Service","3402.919004217684","3"
"Service","3406.9072940041533","2"
"Service","3418.716908166271","3"
"Service","3427.209015822788","3"
"Service","3438.229174399356","3"
"Service","3441.9311707610295","3"
"Service","3461.904875287299","6"
"Service","3475.2727588086295","6"
"Service","3476.6140361513385","5"
"Service","3490.3830798098807","7"
"Service","3495.4113626718918","7"
"Service","3514.1390736997573","8"
"Service","3514.5423567535986","7"
"Service","3517.774288867071","6"
"Service","3530.741457456345","8"
"Service","3537.7946049623074","7"
"Service","3550.601083786207","7"
"Service","3550.605341043239","5"
"Service","3559.5856028108205","4"
"Service","3564.3528726361715","3"
"Service","3569.668648123058","2"
"Service","3584.4648152526697","3"
"Service","3602.220664548683","4"
"Service","3603.8297871611844","3"
"Service","3614.5627734608715","2"
"Service","3618.5177504531716","1"
"Service","3631.082260736206","1"
"Service","3648.3832031645934","5"
