"Event","Time","TotalJobs"
"Service","60.25739569782954","0"
"Service","95.45447065592111","1"
"Service","106.2548482245208","0"
"Service","148.11801115624087","2"
"Service","167.31759793731965","3"
"Service","173.06471660934085","2"
"Service","188.81200756847107","1"
"Service","205.00992744692005","0"
"Service","235.73039988216271","0"
"Service","262.0188927112189","3"
"Service","272.5505715381397","2"
"Service","282.8438587080705","2"
"Service","302.44810943422914","3"
"Service","311.1379547896249","3"
"Service","328.8265772514221","4"
"Service","330.51284762559015","3"
"Service","350.089979742714","3"
"Service","355.9186723892602","2"
"Service","379.4222951929511","1"
"Service","382.58190772462785","0"
"Service","406.9520419208084","3"
"Service","421.5476751698103","2"
"Service","431.51940216048934","2"
"Service","443.611418934907","3"
"Service","454.14916862158645","4"
"Service","466.048589446268","5"
"Service","479.6371114215801","5"
"Service","495.58156821138743","6"
"Service","507.2491221321013","5"
"Service","515.2435334664353","5"
"Service","531.7520432110613","4"
"Service","535.3754837702102","3"
"Service","560.2019071015243","4"
"Service","560.4383410441665","3"
"Service","586.2938650929559","6"
"Service","593.587370134979","5"
"Service","612.6012217066846","4"
"Service","626.9218783940545","3"
"Service","634.0705186612821","2"
"Service","651.551096974485","3"
"Service","662.5186758355494","2"
"Service","674.260367605734","2"
"Service","690.8472540307386","3"
"Service","696.0921285766719","2"
"Service","715.7693549418249","3"
"Service","719.570708571411","2"
"Service","741.3408767287807","3"
"Service","744.275689220856","2"
"Service","765.8017911581123","1"
"Service","765.8158666889407","0"
"Service","792.4776801484371","2"
"Service","804.3556901605587","1"
"Service","821.0885025512509","3"
"Service","831.4833854795704","3"
"Service","842.424378386597","3"
"Service","860.5713066045564","3"
"Service","869.8556978817165","3"
"Service","883.6390631261387","3"
"Service","897.224698718707","3"
"Service","908.0421704548606","2"
"Service","913.1896382493809","1"
"Service","937.9629075376034","1"
"Service","952.7859843534876","1"
"Service","960.7892091485993","0"
"Service","998.3060986988735","1"
"Service","1019.1665331687469","3"
"Service","1022.4531973802149","2"
"Service","1036.7528101379687","3"
"Service","1041.890713525747","2"
"Service","1057.9525582295748","3"
"Service","1069.896074064973","4"
"Service","1086.6000256304208","5"
"Service","1088.5212583077096","4"
"Service","1106.4072197390587","5"
"Service","1116.5634603854587","5"
"Service","1126.8756996596255","4"
"Service","1139.524468124614","3"
"Service","1156.9254758894213","3"
"Service","1161.1898097625008","2"
"Service","1174.4571479154383","1"
"Service","1187.9985762566441","1"
"Service","1211.7304484696026","1"
"Service","1235.7499364853725","0"
"Service","1275.794261626372","2"
"Service","1293.28108566488","2"
"Service","1294.8691024876812","1"
"Service","1311.7391791189254","1"
"Service","1336.5676110100494","2"
"Service","1338.5044099804763","1"
"Service","1366.7840261493386","3"
"Service","1372.333316404802","2"
"Service","1385.0292789768835","3"
"Service","1387.4083102606312","2"
"Service","1410.3872779112296","4"
"Service","1415.2565230938444","4"
"Service","1434.413173381519","4"
"Service","1438.537142268454","3"
"Service","1460.5291820135071","5"
"Service","1461.5836681637563","4"
"Service","1486.9486550031318","5"
"Service","1490.9073223008763","4"
"Service","1516.5430589137316","5"
"Service","1518.2347748738566","4"
"Service","1536.1505653605982","4"
"Service","1543.4866714520601","3"
"Service","1557.957134242975","4"
"Service","1568.7375396420691","4"
"Service","1580.4169177851136","4"
"Service","1595.8835525880236","5"
"Service","1609.889442268471","4"
"Service","1611.7458618765845","3"
"Service","1629.7716309535094","3"
"Service","1636.4769383952223","2"
"Service","1651.3805544271424","2"
"Service","1663.7335367373976","1"
"Service","1675.9604858526009","0"
"Service","1742.8499948000451","2"
"Service","1747.0054058140722","1"
"Service","1764.4043438089077","1"
"Service","1769.3373535091705","1"
"Service","1794.3633982951271","1"
"Service","1810.1591241461333","0"
"Service","1846.1804850556914","1"
"Service","1855.912772366933","0"
"Service","1880.2836560619596","0"
"Service","1907.5493337013047","2"
"Service","1924.0585323241423","1"
"Service","1925.445406725153","0"
"Service","1952.8335766894716","1"
"Service","1959.1718568991846","0"
"Service","1992.8643486138562","2"
"Service","1998.77320231999","1"
"Service","2002.9800170965768","2"
"Service","2019.9316283538142","1"
"Service","2022.07187351352","1"
"Service","2046.0680837366099","3"
"Service","2049.9379153026416","3"
"Service","2066.065417838159","2"
"Service","2071.107172382511","1"
"Service","2087.1314501053125","2"
"Service","2095.2961580977853","1"
"Service","2107.834504569708","0"
"Service","2163.6665962672164","2"
"Service","2165.4693247194123","1"
"Service","2188.527604910057","2"
"Service","2193.3703204829826","3"
"Service","2216.5609621451113","3"
"Service","2219.9406067366376","2"
"Service","2240.8368237623654","3"
"Service","2241.1313764670235","2"
"Service","2258.571463383403","2"
"Service","2259.3988273757827","1"
"Service","2284.9260636700533","3"
"Service","2294.8565877737574","3"
"Service","2313.056853955989","2"
"Service","2328.0941727242653","1"
"Service","2340.401377028029","0"
"Service","2364.9738176169626","2"
"Service","2387.255047306495","2"
"Service","2391.6921048329027","1"
"Service","2406.923479509422","0"
"Service","2467.3858634622543","1"
"Service","2485.1418214446517","2"
"Service","2486.2137877700443","1"
"Service","2502.341677704495","2"
"Service","2506.536595767109","1"
"Service","2534.3585335545545","1"
"Service","2535.1315644847596","1"
"Service","2567.198651300506","3"
"Service","2572.633960938448","3"
"Service","2593.259184814432","3"
"Service","2593.2959925223","2"
"Service","2610.6893434231424","2"
"Service","2617.4502000445395","2"
"Service","2634.755906220241","2"
"Service","2637.681694426687","1"
"Service","2662.982913772724","1"
"Service","2676.362849608719","1"
"Service","2682.8043078636124","0"
"Service","2711.827323151102","1"
"Service","2723.587675281426","1"
"Service","2737.6370786475118","0"
"Service","2768.135505541402","3"
"Service","2779.1406865297718","2"
"Service","2795.0800789234386","3"
"Service","2802.457160584549","2"
"Service","2826.8959278865145","3"
"Service","2829.8735309497656","2"
"Service","2846.8485884212723","2"
"Service","2853.407422288957","1"
"Service","2874.6368806883665","0"
"Service","2913.414475030125","2"
"Service","2923.2385483726566","2"
"Service","2945.9630411100165","2"
"Service","2947.4187005984763","1"
"Service","2980.719107275635","0"
"Service","3012.58628955184","2"
"Service","3013.343618629218","1"
"Service","3033.1553819852006","2"
"Service","3048.1539448379826","2"
"Service","3060.274539628338","1"
"Service","3072.6240358003893","1"
"Service","3085.524272859247","1"
"Service","3097.1073631054373","0"
"Service","3146.5329431562113","0"
"Service","3168.707623054007","0"
"Service","3223.0655056650394","1"
"Service","3233.767567884432","0"
"Service","3263.7761881579045","1"
"Service","3280.799918132251","0"
"Service","3376.8069767606544","1"
"Service","3397.1526611100453","4"
"Service","3405.880188252997","3"
"Service","3421.96485398083","3"
"Service","3428.7740841732866","3"
"Service","3447.269081060299","3"
"Service","3453.7546579254263","2"
"Service","3474.6160414618757","3"
"Service","3478.732577404006","2"
"Service","3499.0866858095405","2"
"Service","3503.80351509396","2"
"Service","3526.782567195192","4"
"Service","3531.737760493347","3"
"Service","3546.8809441520543","4"
"Service","3556.9926550758373","3"
"Service","3575.972566046884","5"
"Service","3588.058227472538","4"
"Service","3600.160912255372","4"
"Service","3607.0850188939685","3"
"Service","3632.0478878462186","5"
"Service","3636.666137312859","4"
"Service","3650.373847213875","6"
"Service","3657.321242037529","6"
"Service","3678.816277886627","7"
"Service","3689.657660914624","7"
"Service","3704.387673690339","6"
"Service","3713.804113121067","5"
"Service","3726.5304022415494","5"
"Service","3739.1041012197884","5"
"Service","3747.356557892994","5"
"Service","3756.7230532659464","4"
"Service","3769.1094119573445","3"
"Service","3780.331037216886","4"
"Service","3796.0870902961206","3"
"Service","3804.460030237696","3"
"Service","3824.2095881056803","4"
"Service","3831.8548678183624","4"
"Service","3846.4056506144866","5"
"Service","3857.1375508022334","4"
"Service","3873.5349583645266","4"
"Service","3877.5052680172466","3"
"Service","3885.859218576656","3"
"Service","3899.6301211242117","3"
"Service","3904.687927352405","2"
"Service","3927.798117018047","2"
"Service","3929.212378330812","1"
"Service","3954.423920598974","2"
"Service","3955.3555827132163","1"
"Service","3987.8327499006077","0"
"Service","4076.7647458833703","2"
"Service","4082.936759178708","1"
"Service","4105.8683753876885","2"
"Service","4115.892815361587","2"
"Service","4132.190316882449","1"
"Service","4136.979545292275","2"
"Service","4160.012808768066","4"
